epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,8395.39,0.98295,0.50992,1.2307,0.96696,0.98155,0.9783,0.72682,0.98868,0.37417,1.07003,0.00822109,0.00822109,0.00822109
94,8485.54,1.01283,0.52512,1.24574,0.96042,0.98493,0.98063,0.73461,0.99409,0.38655,1.08806,0.00820176,0.00820176,0.00820176
95,8576.31,0.99691,0.51597,1.24005,0.96527,0.98432,0.98249,0.73675,0.9977,0.38538,1.0725,0.00818242,0.00818242,0.00818242
96,8666.66,0.98314,0.51588,1.23217,0.96394,0.98708,0.98216,0.73544,0.99549,0.38873,1.08392,0.00816309,0.00816309,0.00816309
97,8772.7,0.97345,0.50468,1.22376,0.96225,0.98773,0.98146,0.73452,0.99618,0.39084,1.09689,0.00814375,0.00814375,0.00814375
98,8863.42,0.97718,0.51207,1.23341,0.96244,0.98616,0.97934,0.73279,0.99646,0.38422,1.10233,0.00812441,0.00812441,0.00812441
99,8954.11,0.98367,0.51338,1.22852,0.9648,0.98339,0.9792,0.72826,0.99009,0.3733,1.06823,0.00810508,0.00810508,0.00810508
100,9044.63,0.98773,0.50252,1.23273,0.96222,0.98681,0.9768,0.72234,0.99833,0.38465,1.11541,0.00808574,0.00808574,0.00808574
101,9134.91,0.99247,0.51782,1.24458,0.96245,0.98708,0.98152,0.72896,1.00496,0.39323,1.11786,0.00806641,0.00806641,0.00806641
102,9225.18,0.97305,0.50633,1.22558,0.96219,0.98612,0.98051,0.73566,1.00155,0.38864,1.10618,0.00804707,0.00804707,0.00804707
103,9315.99,0.98764,0.51087,1.23493,0.96097,0.98708,0.9789,0.73381,0.99228,0.38062,1.0982,0.00802773,0.00802773,0.00802773
104,9406.49,0.98247,0.51395,1.22441,0.96215,0.98524,0.98148,0.73844,0.99737,0.37715,1.07327,0.0080084,0.0080084,0.0080084
105,9497.15,0.98355,0.50528,1.22892,0.96284,0.98339,0.983,0.74175,0.99515,0.36761,1.06765,0.00798906,0.00798906,0.00798906
106,9587.41,0.98091,0.50758,1.22953,0.96128,0.98489,0.97727,0.72912,0.98707,0.37767,1.09087,0.00796973,0.00796973,0.00796973
107,9679,0.96928,0.50317,1.21954,0.96565,0.98247,0.98096,0.73998,0.99131,0.37533,1.08019,0.00795039,0.00795039,0.00795039
108,9769.36,0.96889,0.49595,1.22357,0.96194,0.98432,0.98022,0.73515,0.98332,0.38194,1.08954,0.00793105,0.00793105,0.00793105
109,9859.3,0.96319,0.49892,1.22422,0.96234,0.98524,0.98297,0.7369,1.00045,0.36849,1.0986,0.00791172,0.00791172,0.00791172
110,9949.03,0.97046,0.50198,1.22467,0.96309,0.98692,0.9843,0.74276,0.99695,0.37322,1.08798,0.00789238,0.00789238,0.00789238
111,10039.1,0.97581,0.50986,1.23124,0.96033,0.98801,0.98235,0.74013,0.99446,0.37284,1.08959,0.00787305,0.00787305,0.00787305
112,10127.4,0.97859,0.50051,1.23211,0.96308,0.98665,0.98307,0.74834,0.98146,0.37856,1.09975,0.00785371,0.00785371,0.00785371
113,10217.4,0.97525,0.50162,1.22099,0.96071,0.98708,0.98052,0.73793,0.98987,0.36752,1.07314,0.00783438,0.00783438,0.00783438
114,10307.8,0.97214,0.49664,1.2177,0.96127,0.98463,0.98174,0.74225,0.99147,0.36217,1.06541,0.00781504,0.00781504,0.00781504
115,10397.1,0.97497,0.4991,1.22534,0.96216,0.98513,0.98318,0.7433,0.99076,0.36965,1.07254,0.0077957,0.0077957,0.0077957
116,10488.5,0.96483,0.49226,1.21764,0.9647,0.9833,0.98102,0.73943,0.98814,0.3645,1.07526,0.00777637,0.00777637,0.00777637
117,10578,0.96301,0.49338,1.21624,0.96373,0.98432,0.97477,0.73599,0.98528,0.36053,1.06471,0.00775703,0.00775703,0.00775703
118,10669,0.97252,0.49696,1.21631,0.96306,0.98604,0.98308,0.74229,0.98449,0.35987,1.06369,0.0077377,0.0077377,0.0077377
119,10759,0.9744,0.49531,1.22577,0.96028,0.98801,0.98054,0.73742,0.98519,0.35905,1.06318,0.00771836,0.00771836,0.00771836
120,10848.9,0.9699,0.49652,1.22745,0.96409,0.98339,0.98082,0.73882,0.98909,0.36178,1.07399,0.00769902,0.00769902,0.00769902
121,10938.5,0.96484,0.49732,1.21795,0.96435,0.98524,0.98184,0.74225,0.97925,0.36573,1.07139,0.00767969,0.00767969,0.00767969
122,11028.2,0.96381,0.4972,1.21491,0.96473,0.98412,0.98425,0.74418,0.98954,0.36561,1.06656,0.00766035,0.00766035,0.00766035
123,11118.2,0.96529,0.49296,1.21752,0.96353,0.98524,0.98133,0.7367,0.99021,0.36707,1.06543,0.00764102,0.00764102,0.00764102
124,11209,0.95896,0.49612,1.21167,0.96471,0.98355,0.98063,0.73584,0.98883,0.35996,1.06409,0.00762168,0.00762168,0.00762168
125,11298.7,0.97121,0.49944,1.22632,0.96684,0.98247,0.98383,0.74472,0.98895,0.37171,1.09111,0.00760234,0.00760234,0.00760234
126,11389.4,0.96757,0.49109,1.21782,0.96312,0.98432,0.98514,0.74998,0.98627,0.36675,1.08104,0.00758301,0.00758301,0.00758301
127,11478.1,0.9592,0.50044,1.2023,0.96141,0.98524,0.98396,0.74762,0.98483,0.35949,1.05357,0.00756367,0.00756367,0.00756367
128,11567.8,0.95873,0.50512,1.21066,0.96339,0.98432,0.98495,0.74571,0.98892,0.35107,1.05251,0.00754434,0.00754434,0.00754434
129,11658.1,0.96259,0.4898,1.20925,0.967,0.98339,0.98397,0.74178,1.00277,0.35577,1.05798,0.007525,0.007525,0.007525
130,11749.4,0.96405,0.49703,1.21889,0.96535,0.98339,0.98404,0.73901,0.98467,0.35416,1.05909,0.00750566,0.00750566,0.00750566
131,11838.7,0.94854,0.48993,1.20735,0.96389,0.98509,0.98197,0.7395,0.9798,0.35031,1.05462,0.00748633,0.00748633,0.00748633
132,11928.7,0.96264,0.48764,1.21103,0.96197,0.98708,0.9803,0.73716,0.97798,0.35344,1.05751,0.00746699,0.00746699,0.00746699
133,12018.4,0.96449,0.49686,1.22623,0.96308,0.9867,0.98048,0.73894,0.98136,0.35915,1.0742,0.00744766,0.00744766,0.00744766
134,12107.8,0.96828,0.50066,1.22438,0.96393,0.98612,0.98242,0.74297,0.98433,0.36061,1.08655,0.00742832,0.00742832,0.00742832
135,12197.4,0.95125,0.48788,1.217,0.96309,0.98683,0.98333,0.74402,0.98139,0.36096,1.08761,0.00740898,0.00740898,0.00740898
136,12288.9,0.94945,0.48923,1.21457,0.96463,0.98432,0.98236,0.74145,0.98156,0.35873,1.08653,0.00738965,0.00738965,0.00738965
137,12378.9,0.9497,0.48832,1.21642,0.96321,0.98616,0.98156,0.74324,0.98518,0.36246,1.0853,0.00737031,0.00737031,0.00737031
138,12469.9,0.96807,0.49158,1.21837,0.96136,0.98697,0.9809,0.74058,0.98422,0.36027,1.06928,0.00735098,0.00735098,0.00735098
139,12560.7,0.96799,0.49378,1.22773,0.96218,0.98581,0.98391,0.74225,0.98707,0.3617,1.08212,0.00733164,0.00733164,0.00733164
140,12651.6,0.9679,0.48795,1.22396,0.96024,0.98801,0.98413,0.74674,0.98981,0.36572,1.0916,0.0073123,0.0073123,0.0073123
141,12740.7,0.96354,0.49243,1.22489,0.96133,0.98708,0.98283,0.74281,0.99192,0.36086,1.08203,0.00729297,0.00729297,0.00729297
142,12828.8,0.96317,0.47942,1.21924,0.96224,0.98616,0.98279,0.74446,0.99318,0.3652,1.08502,0.00727363,0.00727363,0.00727363
143,12919.7,0.95253,0.48435,1.21403,0.96647,0.98392,0.98338,0.74643,0.98887,0.3599,1.07381,0.0072543,0.0072543,0.0072543
144,13010.7,0.9801,0.49403,1.22765,0.96818,0.98233,0.98327,0.74385,0.98868,0.35838,1.06919,0.00723496,0.00723496,0.00723496
145,13100,0.95312,0.48355,1.21392,0.96309,0.98701,0.98267,0.74349,0.98791,0.35666,1.06412,0.00721562,0.00721562,0.00721562
146,13187.6,0.96883,0.49946,1.22509,0.96306,0.98614,0.9835,0.73836,0.99505,0.35875,1.07548,0.00719629,0.00719629,0.00719629
147,13276.9,0.96491,0.49706,1.22414,0.965,0.98432,0.98315,0.74028,0.98861,0.3591,1.07826,0.00717695,0.00717695,0.00717695
148,13881.1,0.95198,0.47769,1.2148,0.96387,0.98708,0.9815,0.74074,0.98525,0.35698,1.07712,0.00715762,0.00715762,0.00715762
149,13961.1,0.94983,0.48454,1.21873,0.96481,0.98635,0.98387,0.73924,0.98034,0.36148,1.08491,0.00713828,0.00713828,0.00713828
150,14047.3,0.95446,0.4847,1.21761,0.96467,0.98432,0.98539,0.74215,0.9947,0.36011,1.07118,0.00711895,0.00711895,0.00711895
151,14139,0.95385,0.48564,1.21515,0.96195,0.98616,0.98446,0.74327,0.99661,0.35755,1.06756,0.00709961,0.00709961,0.00709961
152,14229.9,0.94955,0.48728,1.21042,0.96121,0.98708,0.98402,0.74337,0.9898,0.35567,1.06813,0.00708027,0.00708027,0.00708027
153,14319.6,0.95132,0.49146,1.20802,0.96223,0.98706,0.9836,0.74161,0.99186,0.35422,1.06382,0.00706094,0.00706094,0.00706094
154,14407.6,0.95674,0.48252,1.22627,0.9657,0.98155,0.9844,0.74101,0.99064,0.35912,1.07459,0.0070416,0.0070416,0.0070416
155,14497,0.96072,0.4837,1.22451,0.96631,0.98247,0.98366,0.74505,0.9862,0.36205,1.07585,0.00702227,0.00702227,0.00702227
156,14587.4,0.95255,0.47961,1.21749,0.96302,0.98511,0.98123,0.7397,0.9856,0.36169,1.06887,0.00700293,0.00700293,0.00700293
157,14676.5,0.95944,0.48361,1.21599,0.963,0.98449,0.98307,0.74247,0.97988,0.36058,1.07108,0.00698359,0.00698359,0.00698359
158,14766.6,0.94171,0.47518,1.2076,0.96088,0.98432,0.98257,0.7393,0.97908,0.35712,1.06899,0.00696426,0.00696426,0.00696426
159,14857.2,0.94851,0.48009,1.21353,0.96296,0.98331,0.98285,0.73806,0.98255,0.35359,1.06786,0.00694492,0.00694492,0.00694492
160,14947.6,0.95167,0.48647,1.21729,0.96015,0.98708,0.98232,0.74017,0.98563,0.35161,1.06705,0.00692559,0.00692559,0.00692559
161,15036.9,0.95215,0.4831,1.21514,0.95877,0.98674,0.98329,0.74413,0.98772,0.35317,1.06816,0.00690625,0.00690625,0.00690625
162,15126.8,0.94477,0.48134,1.20704,0.96121,0.98616,0.98347,0.74226,0.9875,0.3533,1.06613,0.00688691,0.00688691,0.00688691
163,15216.1,0.95415,0.48259,1.21277,0.96232,0.98339,0.98401,0.74648,0.98776,0.35147,1.0609,0.00686758,0.00686758,0.00686758
164,15306.1,0.94569,0.48082,1.20422,0.96297,0.98351,0.98503,0.74625,0.98906,0.34989,1.06478,0.00684824,0.00684824,0.00684824
165,15396.4,0.96237,0.48833,1.22495,0.96343,0.98339,0.98439,0.74674,0.9885,0.3525,1.06855,0.00682891,0.00682891,0.00682891
166,15485.9,0.94914,0.47664,1.21019,0.96633,0.9797,0.98325,0.74299,0.98766,0.35466,1.06857,0.00680957,0.00680957,0.00680957
167,15575.3,0.95603,0.48173,1.20742,0.96635,0.98018,0.98391,0.74172,0.98892,0.35285,1.06211,0.00679023,0.00679023,0.00679023
168,15664.7,0.94148,0.4747,1.211,0.962,0.98524,0.98442,0.7454,0.9879,0.35398,1.06426,0.0067709,0.0067709,0.0067709
